"FECHA";"NUMERO DE PEDIDO";"PUNTOS";"TOTAL";"DETALLE";"PRODUCTOS DADOS DE ALTA"
6/12/2023 0:00:00;"250278374";"100,64";263,87 €;1;1
3/1/2024 0:00:00;"250283662";"121,4";291,20 €;1;1
26/1/2024 0:00:00;"250286930";"113,92";274,59 €;1;1
4/2/2024 0:00:00;"250289155";"199,92";463,36 €;1;1
25/2/2024 0:00:00;"250292392";"163,16";368,04 €;1;1
28/2/2024 0:00:00;"250293083";"145,29";328,39 €;1;0
4/3/2024 0:00:00;"250294610";"160,11";370,26 €;1;0
19/3/2024 0:00:00;"250297096";"113,46";249,23 €;0;0
26/3/2024 0:00:00;"250298588";"112,01";274,85 €;0;0
30/3/2024 0:00:00;"250299463";"115,65";280,90 €;0;0
8/4/2024 0:00:00;"250301021";"101,43";235,72 €;0;0
19/4/2024 0:00:00;"250302921";"110,91";247,95 €;0;0
25/4/2024 0:00:00;"250303880";"207,28";469,12 €;0;0
28/4/2024 0:00:00;"250304454";"206,00";484,68 €;0;0
9/5/2024 0:00:00;"250307052";"303,69";697,45 €;0;0
9/5/2024 0:00:00;"250307070";"102,76";247,11 €;0;0
25/9/2024 0:00:00;"250309867";"302,04";680,93 €;0;0
27/6/2024 0:00:00;"250316088";"100,82";224,77 €;0;0
14/7/2024 0:00:00;"250319746";"202,91";430,76 €;0;0
27/7/2024 0:00:00;"250322370";"401,80";894,25 €;0;0
